SNP_ID	Chromosome Number	Chromosome Position	Genes	DiseaseTrait	AF	GT_00	GT_01	GT_10	GT_11
rs6687776	1	1095185	C1orf159	No associated clinical information for this SNP	0.2897148676171079	0.1227087576374745	0.055244399185336	0.1491853360488798	0.0068737270875763
rs3737626	1	1791146	GNB1	No associated clinical information for this SNP	0.0063645621181262	0.1848268839103869	0.005346232179226	0.0068737270875763	0.000254582484725
rs16825336	1	1814287	GNB1	No associated clinical information for this SNP	0.1471486761710794	0.1344195519348268	0.0468431771894093	0.0837576374745417	0.0035641547861507
rs4648592	1	1869595	GNB1	No associated clinical information for this SNP	0.1829175152749491	0.105142566191446	0.0684826883910387	0.105142566191446	0.0112016293279022
rs7525092	1	1878651	GNB1	No associated clinical information for this SNP	0.2110488798370672	0.1043788187372708	0.0692464358452138	0.1234725050916497	0.0112016293279022
rs903914	1	2357882	MORN1	No associated clinical information for this SNP	0.1521130346232179	0.1199083503054989	0.0593177189409368	0.0944501018329938	0.0056008146639511
rs10910060	1	2371472	MORN1	Height	0.2246690427698574	0.1015784114052953	0.0748472505091649	0.1155804480651731	0.0084012219959266
rs10910061	1	2372073	MORN1	No associated clinical information for this SNP	0.0908859470468431	0.1743890020366598	0.010183299389002	0.070264765784114	0.000254582484725
rs4310388	1	2575976	No gene information found	No associated clinical information for this SNP	0.4557026476578411	0.0728105906313645	0.0842668024439918	0.1998472505091649	0.0277494908350305
rs10909890	1	2817022	No gene information found	No associated clinical information for this SNP	0.1187627291242362	0.1743890020366598	0.010183299389002	0.0842668024439918	0.000254582484725
rs10797368	1	2936142	No gene information found	1-(1-enyl-oleoyl)-GPE (P-18:1) levels in elite athletes	0.0969959266802444	0.1692973523421588	0.015274949083503	0.0723014256619144	0.000254582484725
rs10492941	1	3210573	PRDM16	No associated clinical information for this SNP	0.1196537678207739	0.1690427698574338	0.015274949083503	0.0845213849287169	0.0005091649694501
rs2455099	1	3264851	PRDM16	No associated clinical information for this SNP	0.2307790224032586	0.1484215885947047	0.0356415478615071	0.1530040733197556	0.0007637474541751
rs882430	1	3342549	PRDM16	No associated clinical information for this SNP	0.3285386965376782	0.0822301425661914	0.0835030549898167	0.1634419551934827	0.0190936863543788
rs1181877	1	3764165	CCDC27	No associated clinical information for this SNP	0.4059317718940937	0.0837576374745417	0.0840122199592668	0.1624236252545824	0.0170570264765784
rs2275831	1	3829360	CEP104	No associated clinical information for this SNP	0.1798625254582484	0.1568228105906313	0.0272403258655804	0.1020875763747454	0.0007637474541751
rs7535133	1	3831949	CEP104	No associated clinical information for this SNP	0.2673116089613034	0.1089613034623217	0.0669551934826883	0.1484215885947047	0.0089103869653767
rs12084604	1	3837249	CEP104	No associated clinical information for this SNP	0.0376782077393075	0.1843177189409368	0.0005091649694501	0.0277494908350305	0.0071283095723014
rs10492943	1	3848860	CEP104	No associated clinical information for this SNP	0.1171079429735234	0.1237270875763747	0.0544806517311608	0.0756109979633401	0.0066191446028513
rs4074709	1	3880384	DFFB	No associated clinical information for this SNP	0.1852087576374745	0.1206720977596741	0.0595723014256619	0.1224541751527494	0.0045824847250509
rs4131373	1	3890824	C1orf174	No associated clinical information for this SNP	0.1565682281059063	0.1239816700610998	0.0562627291242362	0.095213849287169	0.0045824847250509
rs11807227	1	3892859	C1orf174	No associated clinical information for this SNP	0.1434572301425662	0.1356924643584521	0.0455702647657841	0.090122199592668	0.0035641547861507
